Timestamp,EventID,Username,SourceIP,Hostname,LogonType,Status
2026-04-18 00:01:26,4624,bilal,10.0.1.45,WKS-016,2,Success
2026-04-18 00:01:48,4624,administrator,10.0.1.21,WKS-038,3,Success
2026-04-18 00:01:57,4624,jsmith,10.0.1.37,WKS-015,10,Success
2026-04-18 00:03:19,4624,administrator,10.0.1.35,FILE-01,10,Success
2026-04-18 00:04:33,4672,rpatel,10.0.1.67,WKS-038,3,Info
2026-04-18 00:04:38,4624,svc_sql,10.0.1.53,WKS-018,2,Success
2026-04-18 00:05:10,4634,jsmith,10.0.1.21,WKS-025,2,Info
2026-04-18 00:06:00,4634,dthompson,10.0.1.43,WKS-003,10,Info
2026-04-18 00:07:03,4624,svc_sql,10.0.1.20,WKS-036,3,Success
2026-04-18 00:08:28,4634,dthompson,10.0.1.34,WKS-005,2,Info
2026-04-18 00:09:57,4624,kwilson,10.0.1.20,WKS-015,2,Success
2026-04-18 00:10:50,4634,tgarcia,10.0.1.56,WKS-011,3,Info
2026-04-18 00:11:40,4624,kwilson,10.0.1.19,WKS-039,10,Success
2026-04-18 00:12:06,4624,mchen,10.0.1.69,WKS-025,3,Success
2026-04-18 00:13:32,4624,svc_backup,10.0.1.17,WKS-015,2,Success
2026-04-18 00:14:17,4672,kwilson,10.0.1.18,WKS-014,10,Info
2026-04-18 00:15:02,4624,tgarcia,10.0.1.60,FILE-01,3,Success
2026-04-18 00:15:25,4634,mchen,10.0.1.41,WKS-036,10,Info
2026-04-18 00:16:03,4672,dthompson,10.0.1.61,WKS-024,2,Info
2026-04-18 00:16:25,4625,jsmith,10.0.1.16,WKS-008,2,Failed
2026-04-18 00:17:50,4624,svc_sql,10.0.1.18,WKS-025,3,Success
2026-04-18 00:19:11,4625,administrator,10.0.1.42,WKS-036,2,Failed
2026-04-18 00:19:30,4634,svc_backup,10.0.1.24,WKS-019,3,Info
2026-04-18 00:19:55,4625,bilal,10.0.1.43,WKS-033,2,Failed
2026-04-18 00:21:04,4624,kwilson,10.0.1.74,WKS-039,2,Success
2026-04-18 00:21:28,4634,mchen,10.0.1.79,WKS-034,2,Info
2026-04-18 00:22:49,4634,tgarcia,10.0.1.12,WKS-008,3,Info
2026-04-18 00:23:33,4624,bilal,10.0.1.40,WKS-037,2,Success
2026-04-18 00:23:48,4625,jsmith,10.0.1.78,WKS-009,2,Failed
2026-04-18 00:25:17,4625,administrator,10.0.1.31,WKS-017,10,Failed
2026-04-18 00:26:39,4672,rpatel,10.0.1.79,VPN-01,2,Info
2026-04-18 00:27:23,4672,svc_backup,10.0.1.66,WKS-034,3,Info
2026-04-18 00:27:43,4624,rpatel,10.0.1.18,WKS-022,2,Success
2026-04-18 00:29:03,4624,dthompson,10.0.1.38,WKS-001,2,Success
2026-04-18 00:30:28,4624,rpatel,10.0.1.18,WKS-003,3,Success
